,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0186,0.097,0.191,0.849,-0.173,0.21
mkt-rf,0.9871,0.009,115.901,0.0,0.97,1.004
FX Factor,-0.0009,0.003,-0.263,0.792,-0.008,0.006
