,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0201,0.069,-0.293,0.77,-0.156,0.115
mkt-rf,0.9885,0.011,88.029,0.0,0.966,1.011
FX Factor,0.0003,0.002,0.157,0.876,-0.004,0.005
