,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0456,0.056,0.812,0.417,-0.065,0.156
mkt-rf,0.9959,0.009,111.075,0.0,0.978,1.014
FX Factor,-0.0017,0.002,-0.747,0.456,-0.006,0.003
