,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1571,0.198,-0.793,0.429,-0.547,0.233
mkt-rf,1.0298,0.047,21.85,0.0,0.937,1.123
FX Factor,0.0058,0.007,0.79,0.43,-0.009,0.02
