,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1102,0.08,-1.382,0.168,-0.267,0.047
mkt-rf,0.9818,0.013,75.344,0.0,0.956,1.007
FX Factor,0.0031,0.003,1.208,0.228,-0.002,0.008
