,coef,std err,t,P>|t|,[0.025,0.975]
const,0.042,0.119,0.353,0.724,-0.192,0.276
mkt-rf,1.0024,0.028,35.435,0.0,0.947,1.058
FX Factor,-0.0014,0.004,-0.322,0.748,-0.01,0.007
