,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0144,0.068,0.212,0.833,-0.12,0.149
mkt-rf,0.9889,0.016,61.051,0.0,0.957,1.021
FX Factor,-0.0007,0.003,-0.27,0.787,-0.006,0.004
