,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0391,0.088,-0.443,0.658,-0.213,0.135
mkt-rf,1.0011,0.014,71.046,0.0,0.973,1.029
FX Factor,0.0013,0.003,0.384,0.701,-0.006,0.008
