,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0545,0.108,-0.506,0.613,-0.266,0.157
mkt-rf,1.0172,0.026,39.745,0.0,0.967,1.068
FX Factor,0.0021,0.004,0.52,0.604,-0.006,0.01
