,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0574,0.073,-0.783,0.435,-0.202,0.087
mkt-rf,1.0133,0.012,84.582,0.0,0.99,1.037
FX Factor,0.0022,0.002,0.92,0.358,-0.002,0.007
