,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0161,0.122,0.132,0.895,-0.225,0.257
mkt-rf,0.9894,0.02,50.634,0.0,0.951,1.028
FX Factor,-0.0009,0.005,-0.18,0.858,-0.01,0.009
