,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0352,0.085,-0.412,0.681,-0.204,0.133
mkt-rf,0.9936,0.014,71.157,0.0,0.966,1.021
FX Factor,0.001,0.003,0.348,0.728,-0.004,0.006
