,coef,std err,t,P>|t|,[0.025,0.975]
const,0.2574,0.149,1.724,0.086,-0.037,0.552
mkt-rf,0.9823,0.036,27.649,0.0,0.912,1.052
FX Factor,-0.0089,0.006,-1.62,0.107,-0.02,0.002
