,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0175,0.197,0.089,0.929,-0.37,0.405
mkt-rf,0.9891,0.017,57.346,0.0,0.955,1.023
FX Factor,-0.0009,0.007,-0.128,0.898,-0.015,0.013
