,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1183,0.067,1.757,0.08,-0.014,0.251
mkt-rf,0.9524,0.016,59.485,0.0,0.921,0.984
FX Factor,-0.0047,0.002,-1.907,0.058,-0.01,0.0
