,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0489,0.112,-0.435,0.664,-0.27,0.173
mkt-rf,0.998,0.018,55.548,0.0,0.963,1.033
FX Factor,0.0015,0.004,0.334,0.738,-0.007,0.01
