,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0102,0.058,0.176,0.861,-0.104,0.125
mkt-rf,0.9942,0.009,104.733,0.0,0.975,1.013
FX Factor,-0.0005,0.002,-0.244,0.807,-0.004,0.003
