,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1579,0.124,-1.276,0.203,-0.402,0.086
mkt-rf,0.9901,0.02,48.959,0.0,0.95,1.03
FX Factor,0.0049,0.004,1.22,0.224,-0.003,0.013
