,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0592,0.151,-0.392,0.695,-0.357,0.238
mkt-rf,1.0159,0.036,28.265,0.0,0.945,1.087
FX Factor,0.0023,0.006,0.404,0.687,-0.009,0.013
