,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0787,0.059,-1.339,0.182,-0.195,0.037
mkt-rf,1.0123,0.009,107.745,0.0,0.994,1.031
FX Factor,0.0031,0.002,1.336,0.183,-0.001,0.008
