,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1363,0.095,-1.439,0.151,-0.323,0.05
mkt-rf,1.0294,0.015,68.015,0.0,1.0,1.059
FX Factor,0.0057,0.004,1.534,0.126,-0.002,0.013
