,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0408,0.069,0.596,0.552,-0.094,0.176
mkt-rf,0.979,0.016,60.011,0.0,0.947,1.011
FX Factor,-0.0017,0.003,-0.682,0.496,-0.007,0.003
