,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0372,0.065,-0.574,0.567,-0.165,0.091
mkt-rf,0.9846,0.011,92.878,0.0,0.964,1.006
FX Factor,0.0009,0.002,0.407,0.684,-0.003,0.005
