,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1377,0.077,1.783,0.076,-0.014,0.29
mkt-rf,0.948,0.018,51.608,0.0,0.912,0.984
FX Factor,-0.0054,0.003,-1.904,0.058,-0.011,0.0
