,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0618,0.094,0.661,0.509,-0.122,0.246
mkt-rf,0.9663,0.022,43.44,0.0,0.922,1.01
FX Factor,-0.0025,0.003,-0.736,0.463,-0.009,0.004
