,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.323,0.222,-1.454,0.147,-0.76,0.115
mkt-rf,1.0183,0.053,19.275,0.0,0.914,1.122
FX Factor,0.0113,0.008,1.385,0.167,-0.005,0.027
