,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0403,0.049,-0.824,0.411,-0.137,0.056
mkt-rf,1.0046,0.008,128.505,0.0,0.989,1.02
FX Factor,0.0015,0.002,0.79,0.43,-0.002,0.005
