,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.3318,0.297,-1.116,0.265,-0.917,0.254
mkt-rf,0.9969,0.026,38.272,0.0,0.946,1.048
FX Factor,0.0118,0.01,1.127,0.261,-0.009,0.033
