,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1494,0.088,-1.703,0.09,-0.322,0.023
mkt-rf,1.0212,0.014,72.836,0.0,0.994,1.049
FX Factor,0.0059,0.003,1.693,0.092,-0.001,0.013
