,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3109,0.191,1.631,0.104,-0.065,0.687
mkt-rf,1.0194,0.017,61.001,0.0,0.986,1.052
FX Factor,-0.0109,0.007,-1.612,0.108,-0.024,0.002
