,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0738,0.11,-0.674,0.501,-0.29,0.142
mkt-rf,1.0017,0.018,55.953,0.0,0.966,1.037
FX Factor,0.0025,0.004,0.711,0.478,-0.004,0.009
