,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0299,0.047,-0.637,0.525,-0.122,0.063
mkt-rf,1.0016,0.008,133.454,0.0,0.987,1.016
FX Factor,0.0011,0.002,0.569,0.57,-0.003,0.005
