,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1477,0.242,-0.61,0.542,-0.625,0.329
mkt-rf,0.9747,0.021,45.929,0.0,0.933,1.017
FX Factor,0.0049,0.009,0.572,0.568,-0.012,0.022
