,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0219,0.058,-0.375,0.708,-0.137,0.093
mkt-rf,1.0033,0.009,107.733,0.0,0.985,1.022
FX Factor,0.0009,0.002,0.386,0.7,-0.004,0.005
