,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0313,0.114,-0.275,0.783,-0.256,0.193
mkt-rf,0.9814,0.01,98.383,0.0,0.962,1.001
FX Factor,0.0008,0.004,0.197,0.844,-0.007,0.009
