,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0362,0.146,0.248,0.805,-0.251,0.324
mkt-rf,1.0109,0.035,29.105,0.0,0.942,1.079
FX Factor,-0.0011,0.005,-0.205,0.838,-0.012,0.01
