,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0438,0.056,-0.78,0.436,-0.155,0.067
mkt-rf,1.0042,0.009,109.332,0.0,0.986,1.022
FX Factor,0.0015,0.002,0.822,0.412,-0.002,0.005
