,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.176,0.303,-0.58,0.562,-0.773,0.421
mkt-rf,0.9966,0.027,37.506,0.0,0.944,1.049
FX Factor,0.0064,0.011,0.599,0.55,-0.015,0.028
