,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0315,0.138,-0.227,0.82,-0.304,0.241
mkt-rf,0.9811,0.012,80.835,0.0,0.957,1.005
FX Factor,0.0008,0.005,0.164,0.87,-0.009,0.01
