,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0525,0.103,-0.507,0.612,-0.256,0.151
mkt-rf,0.9868,0.017,58.38,0.0,0.954,1.02
FX Factor,0.0014,0.003,0.413,0.68,-0.005,0.008
