,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1179,0.143,0.822,0.412,-0.165,0.401
mkt-rf,0.973,0.023,42.43,0.0,0.928,1.018
FX Factor,-0.0051,0.006,-0.902,0.368,-0.016,0.006
