,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1384,0.125,-1.112,0.268,-0.384,0.107
mkt-rf,0.9971,0.02,48.983,0.0,0.957,1.037
FX Factor,0.0044,0.004,1.102,0.272,-0.003,0.012
