,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3118,0.136,2.294,0.023,0.044,0.579
mkt-rf,0.9664,0.032,29.895,0.0,0.903,1.03
FX Factor,-0.0111,0.005,-2.206,0.028,-0.021,-0.001
