,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0234,0.051,0.46,0.646,-0.077,0.124
mkt-rf,0.9832,0.012,81.127,0.0,0.959,1.007
FX Factor,-0.0011,0.002,-0.57,0.569,-0.005,0.003
