,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1169,0.096,-1.218,0.224,-0.306,0.072
mkt-rf,1.0292,0.023,45.084,0.0,0.984,1.074
FX Factor,0.0043,0.004,1.217,0.225,-0.003,0.011
