,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0378,0.218,-0.173,0.863,-0.468,0.392
mkt-rf,0.9623,0.019,50.273,0.0,0.925,1.0
FX Factor,0.0007,0.008,0.094,0.926,-0.014,0.016
