,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0443,0.04,-1.121,0.263,-0.122,0.034
mkt-rf,0.9964,0.006,154.283,0.0,0.984,1.009
FX Factor,0.0013,0.001,1.043,0.298,-0.001,0.004
