,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0141,0.045,0.316,0.752,-0.074,0.102
mkt-rf,0.9987,0.007,140.082,0.0,0.985,1.013
FX Factor,-0.0005,0.002,-0.28,0.78,-0.004,0.003
