,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0186,0.069,0.268,0.789,-0.118,0.155
mkt-rf,0.9958,0.011,89.88,0.0,0.974,1.018
FX Factor,-0.0008,0.003,-0.277,0.782,-0.006,0.005
