,coef,std err,t,P>|t|,[0.025,0.975]
const,0.3279,0.222,1.476,0.141,-0.11,0.766
mkt-rf,0.9995,0.019,51.331,0.0,0.961,1.038
FX Factor,-0.0118,0.008,-1.504,0.134,-0.027,0.004
