,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0366,0.083,-0.441,0.66,-0.2,0.127
mkt-rf,0.9946,0.02,50.321,0.0,0.956,1.033
FX Factor,0.0011,0.003,0.365,0.716,-0.005,0.007
