,coef,std err,t,P>|t|,[0.025,0.975]
const,0.28,0.369,0.759,0.449,-0.447,1.007
mkt-rf,0.9862,0.032,30.506,0.0,0.923,1.05
FX Factor,-0.0101,0.013,-0.778,0.437,-0.036,0.016
