,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0261,0.078,-0.333,0.739,-0.18,0.128
mkt-rf,1.0092,0.013,80.641,0.0,0.985,1.034
FX Factor,0.0013,0.003,0.407,0.684,-0.005,0.007
