,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0269,0.051,0.524,0.601,-0.074,0.128
mkt-rf,0.9947,0.008,118.367,0.0,0.978,1.011
FX Factor,-0.001,0.002,-0.601,0.549,-0.004,0.002
