,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0389,0.043,-0.896,0.371,-0.124,0.047
mkt-rf,1.0045,0.007,144.899,0.0,0.991,1.018
FX Factor,0.0015,0.002,0.872,0.384,-0.002,0.005
