,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1195,0.091,-1.316,0.189,-0.298,0.059
mkt-rf,0.9837,0.015,66.29,0.0,0.954,1.013
FX Factor,0.0035,0.003,1.194,0.234,-0.002,0.009
