,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0523,0.131,0.4,0.689,-0.205,0.309
mkt-rf,0.9913,0.011,86.656,0.0,0.969,1.014
FX Factor,-0.0021,0.005,-0.447,0.655,-0.011,0.007
