,coef,std err,t,P>|t|,[0.025,0.975]
const,0.028,0.114,0.246,0.806,-0.197,0.253
mkt-rf,1.0179,0.019,54.639,0.0,0.981,1.055
FX Factor,-0.0005,0.004,-0.14,0.889,-0.008,0.007
