,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0633,0.057,-1.11,0.268,-0.176,0.049
mkt-rf,1.0208,0.014,75.27,0.0,0.994,1.047
FX Factor,0.0025,0.002,1.18,0.239,-0.002,0.007
