,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0991,0.125,-0.79,0.43,-0.346,0.148
mkt-rf,0.9747,0.011,88.679,0.0,0.953,0.996
FX Factor,0.0031,0.004,0.694,0.488,-0.006,0.012
