,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.3307,0.172,-1.922,0.056,-0.67,0.008
mkt-rf,1.0944,0.041,26.734,0.0,1.014,1.175
FX Factor,0.0126,0.006,1.978,0.049,5.07e-05,0.025
