,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0439,0.105,0.417,0.677,-0.164,0.251
mkt-rf,0.9917,0.017,57.639,0.0,0.958,1.026
FX Factor,-0.0016,0.003,-0.476,0.634,-0.008,0.005
