,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0315,0.108,-0.292,0.771,-0.244,0.181
mkt-rf,0.9995,0.017,57.876,0.0,0.965,1.034
FX Factor,0.0011,0.004,0.254,0.8,-0.007,0.01
