,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0309,0.073,0.426,0.671,-0.112,0.174
mkt-rf,0.9945,0.012,85.709,0.0,0.972,1.017
FX Factor,-0.0012,0.003,-0.432,0.666,-0.007,0.004
